,index,d,lat,lon,time,apparentTemperature,cloudCover,cloudCoverError,data,dewPoint,dewPointError,humidity,humidityError,icon,isd-stations,precipIntensity,precipProbability,precipType,pressure,pressureError,sources,summary,temperature,temperatureError,units,visibility,visibilityError,windBearing,windBearingError,windSpeed,windSpeedError,fire
564,564,2016-07-02 08:02:32.000000,35.6324649485,-109.21506228,1467460800,56.46,0.26,,,52.03,,0.85,,partly-cloudy-night,,0.0033,0.11,rain,1013.49,,,Partly Cloudy,56.46,,,9.89,,263.0,,3.56,,0.0
565,565,2016-07-17 02:05:48.000000,46.0093011857,-103.226321741,1468756800,55,0.17,,,52.59,,0.92,,clear-day,,0,0,,1015.43,,,Clear,55,,,7.55,,297.0,,8.58,,0.0
566,566,2016-06-22 19:47:53.000000,25.0706909587,-90.9041443416,1466596800,87.6,,,,70.89,,0.67,,clear-day,,,,rain,1017.4,,,Clear,83,,,,,109.0,,15.76,,0.0
567,567,2016-05-12 02:23:47.000000,29.3426061254,-88.4229403895,1463054400,75.65,0.04,,,73.47,,0.93,,clear-day,,0,0,,1019.97,,,Clear,75.65,,,9.14,,50.0,,3.68,,0.0
568,568,2016-05-09 19:57:50.000000,33.5164868988,-71.956284442,1462795200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
569,569,2016-08-17 11:28:49.000000,25.5339039264,-90.1570060662,1471435200,95.32,0.31,,,77.07,,0.78,,partly-cloudy-day,,0,0,,1017.56,,,Partly Cloudy,84.82,,,10,,103.0,,14.67,,0.0
570,570,2016-06-06 05:05:24.000000,30.9520298564,-78.8561377031,1465214400,78.13,,,,75.74,,0.92,,clear-day,,,,rain,1012.13,,,Clear,78.13,,,,,207.0,,19.28,,0.0
571,571,2016-07-19 20:33:06.000000,25.817394505,-96.1935970717,1468929600,79.28,0.12,,,73.76,,0.83,,clear-day,,0,0,,1017.82,,,Clear,79.28,,,7.05,,116.0,,3.35,,0.0
572,572,2016-07-19 17:24:25.000000,34.5009532147,-103.240101942,1468929600,64.74,0.02,,,54.89,,0.7,,clear-day,,0,0,,1019.18,,,Clear,64.74,,,10,,123.0,,4.04,,0.0
573,573,2016-05-23 05:19:33.000000,44.9293632445,-74.1045708585,1464004800,59.44,0.03,,,47.26,,0.64,,clear-day,,0,0,,1015.49,,,Clear,59.44,,,9.91,,19.0,,2.25,,0.0
574,574,2016-06-01 10:24:04.000000,27.8440206975,-90.1784253783,1464782400,79.62,0.13,,,71.07,,0.75,,clear-day,,0,0,,1013.6,,,Clear,79.62,,,10,,144.0,,10.62,,0.0
575,575,2016-05-26 03:12:00.000000,37.1756584051,-68.3590777725,1464264000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
576,576,2016-08-27 23:43:17.000000,38.1357431026,-115.504262233,1472299200,60.61,0,,,36.13,,0.4,,clear-night,,0,0,,1011.67,,,Clear,60.61,,,10,,127.0,,7.46,,0.0
577,577,2016-08-07 12:37:49.000000,42.976990725,-69.7405572323,1470571200,69.54,0,,,58.19,,0.67,,clear-day,,0,0,,1008.19,,,Clear,69.54,,,6.13,,277.0,,4.52,,0.0
578,578,2016-08-29 11:39:40.000000,32.9954758296,-86.9069901954,1472472000,75.82,0.07,,,71.24,,0.86,,clear-day,,0,0,,1018.78,,,Clear,75.82,,,9.71,,78.0,,5.21,,0.0
579,579,2016-09-10 17:28:21.000000,47.0224745834,-79.6110851319,1473508800,59.24,0.8,,,56.9,,0.92,,partly-cloudy-day,,0,0,,1013.17,,,Mostly Cloudy,59.24,,,9.79,,160.0,,5.61,,0.0
580,580,2016-07-03 23:21:45.000000,42.4353226108,-95.8815397,1467547200,58.15,0.17,,,55.75,,0.92,,clear-day,,0,0,,1016.13,,,Clear,58.15,,,9.52,,88.0,,7.5,,0.0
581,581,2016-06-08 01:37:51.000000,46.5669959099,-109.975902977,1465387200,58.15,0.02,,,49.8,,0.74,,clear-day,,0,0,,1007.85,,,Clear,58.15,,,10,,207.0,,4.31,,0.0
582,582,2016-05-27 13:15:36.000000,41.5971392052,-109.637712931,1464350400,40.3,0.24,,,36.62,,0.87,,clear-day,,0,0,,1011.07,,,Clear,40.3,,,10,,248.0,,2.64,,0.0
583,583,2016-08-20 22:37:37.000000,29.5108594643,-71.3313107711,1471694400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
584,584,2016-09-13 09:46:39.000000,38.7605952608,-85.3638211454,1473768000,57.63,0.16,,,55.18,,0.92,,clear-day,,0,0,,1019.99,,,Clear,57.63,,,7.92,,132.0,,5.21,,0.0
585,585,2016-09-07 08:38:01.000000,26.9762583677,-95.9774026869,1473249600,95.35,0.26,,,77.61,,0.8,,partly-cloudy-night,,0,0,,1018.67,,,Partly Cloudy,84.5,,,7.27,,157.0,,10.72,,0.0
586,586,2016-08-28 09:47:39.000000,30.8441766522,-112.35596908,1472385600,60.03,0,,,41.6,,0.51,,clear-night,,0,0,,1013.5,,,Clear,60.03,,,10,,140.0,,7,,0.0
