,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,pressure,visibility,windBearing,windSpeed,elevation,fire
50,5.32,0.39,11.2,0.84,partly-cloudy-night,0.0,0.0,,1019.94,10.0,123.0,6.76,371.504364014,1
51,5.32,0.39,11.2,0.84,partly-cloudy-night,0.0,0.0,,1019.94,10.0,123.0,6.76,371.504364014,1
52,5.09,0.33,11.09,0.84,partly-cloudy-night,0.0,0.0,,1019.91,10.0,121.0,6.94,365.314483643,1
53,5.09,0.33,11.09,0.84,partly-cloudy-night,0.0,0.0,,1019.91,10.0,121.0,6.94,365.314483643,1
54,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.74,363.958679199,1
55,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.74,363.958679199,1
56,5.37,0.4,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.72,368.846221924,1
57,5.37,0.4,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.72,368.846221924,1
58,5.37,0.4,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.72,1440.48706055,1
59,5.37,0.4,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.72,1440.48706055,1
60,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.74,1259.9786377,1
61,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.74,1259.9786377,1
62,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.74,1346.05615234,1
63,5.35,0.39,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.74,1346.05615234,1
64,5.37,0.4,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.72,375.822235107,1
65,5.37,0.4,11.22,0.84,partly-cloudy-night,0.0,0.0,,1019.95,10.0,123.0,6.72,375.822235107,1
66,-7.45,0.31,1.97,0.8,partly-cloudy-night,,,snow,1017.3,10.0,300.0,9.95,1441.74060059,1
67,-7.45,0.31,1.97,0.8,partly-cloudy-night,,,snow,1017.3,10.0,300.0,9.95,1441.74060059,1
68,-2.27,1.0,6.45,0.81,cloudy,,,snow,1017.8,3.59,155.0,9.96,1402.65002441,1
69,-2.27,1.0,6.45,0.81,cloudy,,,snow,1017.8,3.59,155.0,9.96,597.0,1
70,-2.11,1.0,5.1,0.77,cloudy,0.0,0.0,,1019.61,9.54,12.0,9.51,594.0,1
71,-2.11,1.0,5.1,0.77,cloudy,0.0,0.0,,1019.61,9.54,12.0,9.51,449.0,1
72,-2.27,1.0,6.48,0.82,cloudy,,,snow,1017.8,3.45,155.0,9.96,640.0,1
73,-2.27,1.0,6.48,0.82,cloudy,,,snow,1017.8,3.45,155.0,9.96,594.0,1
74,-5.86,0.43,1.83,0.78,partly-cloudy-night,0.0,0.0,,1018.08,10.0,310.0,8.42,1415.0,1
75,-5.86,0.43,1.83,0.78,partly-cloudy-night,0.0,0.0,,1018.08,10.0,310.0,8.42,1415.0,1
76,-5.94,0.42,1.82,0.79,partly-cloudy-night,0.0,0.0,,1018.05,10.0,309.0,8.47,455.0,1
77,-7.4,0.31,2.1,0.8,partly-cloudy-night,,,snow,1017.3,10.0,299.0,10.08,455.0,1
78,-7.4,0.31,2.1,0.8,partly-cloudy-night,,,snow,1017.3,10.0,299.0,10.08,1408.02990723,1
79,-7.45,0.31,1.99,0.8,partly-cloudy-night,,,snow,1017.3,10.0,299.0,9.97,1408.02990723,1
80,-7.45,0.31,1.99,0.8,partly-cloudy-night,,,snow,1017.3,10.0,299.0,9.97,1452.36462402,1
81,-2.07,1.0,5.09,0.77,cloudy,0.0,0.0,,1019.59,9.57,12.0,9.47,1452.36462402,1
82,-2.07,1.0,5.09,0.77,cloudy,0.0,0.0,,1019.59,9.57,12.0,9.47,466.0,1
83,-5.94,0.42,1.82,0.79,partly-cloudy-night,0.0,0.0,,1018.04,10.0,309.0,8.48,466.0,1
84,-2.07,1.0,5.09,0.77,cloudy,0.0,0.0,,1019.59,9.57,12.0,9.47,1634.87182617,1
