"Geographic name","Incompletely enumerated Indian reserves and Indian settlements, 2011","Population, 2011","Total private dwellings, 2011","Private dwellings occupied by usual residents, 2011"
B2A,,8292,3690,3460
B2C,,300,190,130
B2E,,36,65,15
B2G,,14492,7404,5919
B2H,,15351,7262,6701
B2J,,95,118,47
B2N,,20134,9896,9150
B2R,,2448,996,948
B2S,,7374,2843,2729
B2T,,16194,5934,5727
B2V,,12589,4640,4556
B2W,,31812,12679,12397
B2X,,11891,4919,4697
B2Y,,14648,7704,7232
B2Z,,8464,3245,3120
B3A,,19745,11413,10440
B3B,,1175,432,407
B3E,,6891,2689,2581
B3G,,10763,4184,4068
B3H,,18874,10877,9136
B3J,,5455,4152,3250
B3K,,20894,11503,10552
B3L,,17431,8805,8169
B3M,,29133,14396,13769
B3N,,12936,6469,6082
B3P,,8624,3913,3724
B3R,,8003,3942,3547
B3S,,10741,4963,4832
B3T,,16452,6338,6062
B3V,,5945,2403,2287
B3Z,,16170,6369,5925
B4A,,17508,7254,6871
B4B,,10232,3448,3352
B4C,,18922,7378,7223
B4E,,16974,6393,6229
B4G,,4817,1703,1669
B4H,,13971,7325,6131
B4N,,17608,8047,7646
B4P,,7866,4053,3448
B4R,,2994,1193,1131
B4V,,19714,9462,8570
B5A,,12688,6335,5597
B6L,,12840,5237,4996
B9A,,4734,2205,1968
C0A,,43792,22107,16991
C0B,,29418,14720,11457
C1A,,29357,13965,12936
C1B,,8533,3498,3274
C1C,,2630,1228,1136
C1E,,10122,4011,3719
C1N,,16352,7414,6949
E1A,,40191,18215,16805
E1B,,19149,8038,7750
E1C,,24231,13004,11746
E1E,,10442,4978,4709
E1G,,20134,7760,7495
E1H,,7320,3216,3076
E1J,,3377,1314,1291
E1N,,11733,5408,4832
E1V,,13573,6199,5755
E1W,,6936,3314,3083
E1X,,14015,6173,5729
E2A,,17714,8748,7873
E2E,,19437,7192,6968
E2G,,4978,1821,1785
E2H,,4819,2012,1911
E2J,,16506,7626,7183
E2K,,17722,8753,7921
E2L,,8092,5002,4218
E2M,,19537,8791,8231
E2N,,4358,1718,1657
E2P,,1454,583,556
E2R,,10,4,4
E2S,,6908,2652,2521
E2V,,14709,5785,5519
E3A,,27273,11883,11353
E3B,,35535,17201,15727
E3C,,10933,4191,4112
E3E,,4394,1647,1604
E3G,,8120,3158,3057
E3L,,9325,4294,3996
E3N,,14319,6761,6228
E3V,,11818,5935,5476
E3Y,,7747,3223,3134
E3Z,,4272,2010,1875
E4A,,3079,1794,1454
E4B,,4475,2561,1990
E4C,,2349,2173,1053
E4E,,9113,4250,3891
E4G,,2724,1129,1043
E4H,,4206,2134,1797
E4J,,4876,2043,1942
E4K,,6476,2573,2390
E4L,,7367,3586,3091
E4M,,1872,1652,822
E4N,,3715,1769,1489
E4P,,13749,7233,5762
E4R,,6253,3973,2658
E4S,,7056,3599,2978
E4T,,2233,1113,948
E4V,,4455,2119,1795
E4W,,8129,4053,3464
E4X,,3050,1380,1269
E4Y,,3173,1484,1357
E4Z,,5771,2860,2398
E5A,,1761,885,748
E5B,,3110,1699,1342
E5C,,4296,2053,1790
E5E,,925,641,381
E5G,,2539,1435,1128
E5H,,2965,1354,1225
E5J,,2016,1111,870
E5K,,7356,2928,2767
E5L,,3063,1349,1236
E5M,,2085,1023,864
E5N,,11577,4875,4428
E5P,,2642,1087,1014
E5R,,1504,756,613
E5S,,1838,1025,767
E5T,,3171,1896,1242
E5V,,731,485,330
E6A,,1297,623,534
E6B,,1679,764,678
E6C,,2309,952,901
E6E,,1509,748,606
E6G,,2714,1371,1133
E6H,,1338,857,542
E6J,,1321,625,577
E6K,,3673,2248,1509
E6L,,4720,2009,1887
E7A,,3970,1953,1722
E7B,,5757,2517,2392
E7C,,5328,2384,2249
E7E,,4465,1919,1837
E7G,,4097,2160,1736
E7H,,6059,2821,2497
E7J,,2180,942,878
E7K,,2682,1164,1083
E7L,,5439,2370,2178
E7M,,9948,4397,4114
E7N,,3110,1440,1213
E7P,,3668,1578,1450
E8A,,3585,1610,1511
E8B,,2379,1088,1013
E8C,,3862,1965,1787
E8E,,5506,2489,2351
E8G,,2916,1545,1391
E8J,,5763,2665,2457
E8K,,8780,3945,3652
E8L,,2427,1068,999
E8M,,2005,912,848
E8N,,2310,1443,1106
E8P,,3478,1542,1443
E8R,,3550,1601,1535
E8S,,4652,2189,1957
E8T,,6187,2893,2694
E9A,,2372,1150,1030
E9B,,2423,1127,978
E9C,,2274,1166,1017
E9E,,4287,1962,1711
E9G,,5316,2216,2060
E9H,,3055,1358,1235
G0A,,77309,38075,32093
G0C,,48768,23317,21310
G0E,,5163,3109,2383
G0G,,18155,8296,7062
G0H,,11031,4990,4579
G0J,,30614,16171,13458
G0K,,11912,6311,5105
G0L,,61464,31282,26028
G0M,,34449,16053,13914
G0N,,20013,10653,8647
G0P,,6770,3265,2730
G0R,,83516,41754,35483
G0S,,70018,30467,28081
G0T,,14853,7543,6490
G0V,,16590,9536,6823
G0W,,36141,17791,13760
G0X,,57843,31434,25425
G0Y,,9295,5667,4034
G0Z,,8495,4084,3590
G1A,,0,1,1
G1B,,15866,5990,5898
G1C,,36498,15246,15018
G1E,,24827,12531,12168
G1G,,23924,10799,10565
G1H,,29045,15191,14785
G1J,,22758,13009,12503
G1K,,18459,11927,11082
G1L,,23030,13574,13082
G1M,,19954,9966,9739
G1N,,8108,4991,4676
G1P,,16406,8167,7934
G1R,,16413,11765,10430
G1S,,24806,14036,13174
G1T,,6725,2751,2678
G1V,,19435,12157,10447
G1W,,20633,10514,10087
G1X,,26006,13244,12920
G1Y,,12962,5278,5202
G2A,,14914,6086,5997
G2B,,23365,10372,10031
G2C,,10362,5316,4851
G2E,,20940,8972,8849
G2G,,10061,4188,4123
G2J,,3046,1658,1612
G2K,,9251,4637,4442
G2L,,13466,5835,5798
G2M,,4718,2013,1963
G2N,,7745,3214,3163
G3A,,18553,6822,6604
G3B,,7426,2877,2675
G3C,,7662,3601,3024
G3E,,14267,5307,5265
G3G,,9898,3957,3849
G3H,,8705,3609,3463
G3J,,9189,3738,3673
G3K,,16249,6340,6253
G3L,,9632,5515,4138
G3M,,6242,2905,2808
G3N,,8170,4192,3327
G3Z,,7337,3620,3190
G4A,,3118,1437,1393
G4R,,21117,9632,8977
G4S,,5285,2200,2159
G4T,,12781,6153,5382
G4V,,7149,3417,3197
G4W,,14471,7297,6904
G4X,,15163,6897,6438
G4Z,,10105,4683,4433
G5A,,8895,4465,3896
G5B,,6149,2787,2634
G5C,,12094,5596,5274
G5H,,7184,3395,3254
G5J,,6330,2959,2803
G5L,,29801,15436,14394
G5M,,6335,2646,2563
G5N,,7821,3233,3131
G5R,,19452,9541,8856
G5T,,3052,1516,1359
G5V,,11485,5509,5227
G5X,,6363,2846,2667
G5Y,,22925,11319,10571
G5Z,,6347,2688,2607
G6A,,2033,779,760
G6B,,8403,4175,3752
G6C,,6968,2719,2675
G6E,,12803,5617,5476
G6G,,19801,9769,9300
G6H,,7344,3348,3174
G6J,,9902,3787,3730
G6K,,7831,2953,2933
G6L,,15013,6657,6501
G6P,,29841,14580,14046
G6R,,4161,1522,1493
G6S,,4204,1803,1759
G6T,,8147,3259,3181
G6V,,36379,17281,16735
G6W,,23480,10824,10627
G6X,,10078,4741,4664
G6Z,,18374,6812,6742
G7A,,20458,7875,7658
G7B,,17767,8111,7728
G7G,,16539,6869,6783
G7H,,29025,14457,13743
G7J,,14790,6931,6794
G7K,,613,284,280
G7N,,5979,2526,2406
G7P,,6673,2865,2683
G7S,,20142,8492,8392
G7T,,106,50,44
G7X,,26162,13389,12533
G7Y,,638,274,266
G7Z,,2967,1084,1075
G8A,,6144,2705,2636
G8B,,23110,10821,10347
G8C,,3626,1385,1368
G8E,,4041,1631,1564
G8G,,4107,2059,1695
G8H,,10395,4915,4655
G8J,,4239,3234,1722
G8K,,10278,4835,4389
G8L,,14925,7044,6528
G8M,,5448,2364,2268
G8N,,2432,1200,993
G8P,,7623,3507,3254
G8T,,28709,14581,13876
G8V,,9248,3629,3538
G8W,,9774,4335,4159
G8Y,,32179,15625,14836
G8Z,,13471,8013,6964
G9A,,20643,12184,11121
G9B,,15040,6179,5944
G9C,,2317,1000,970
G9H,,12435,5665,5328
G9N,,16740,9516,8600
G9P,,11166,5260,5104
G9R,,2143,917,883
G9T,,16306,8583,7916
G9X,,10914,6433,5147
H1A,,32432,14471,13885
H1B,,19854,9171,8772
H1C,,13659,4384,4273
H1E,,43294,17238,16630
H1G,,48604,21641,19934
H1H,,35648,16239,15124
H1J,,10345,4914,4803
H1K,,32364,14168,13623
H1L,,32996,16690,15838
H1M,,28928,14958,14276
H1N,,23028,11981,11431
H1P,,17748,7478,7214
H1R,,29843,12170,11688
H1S,,24490,10638,10177
H1T,,30202,15591,14845
H1V,,21093,12097,11357
H1W,,28422,16429,15307
H1X,,29859,16659,15849
H1Y,,25836,14357,13749
H1Z,,35439,14358,13430
H2A,,18846,8680,8233
H2B,,17361,9052,8597
H2C,,17382,8657,8280
H2E,,23986,12257,11556
H2G,,21367,12345,11671
H2H,,13689,8079,7630
H2J,,25531,15764,14820
H2K,,27414,16574,15497
H2L,,22941,15015,13602
H2M,,18054,9842,8802
H2N,,6028,2679,2509
H2P,,14047,7620,7157
H2R,,21532,12046,11493
H2S,,25931,15161,14280
H2T,,15911,8846,8257
H2V,,30465,13690,12647
H2W,,11071,6887,6012
H2X,,19432,14501,11834
H2Y,,3457,2715,2119
H2Z,,1961,1293,1029
H3A,,3784,2926,2224
H3B,,339,430,224
H3C,,6617,4806,3958
H3E,,18318,9286,8786
H3G,,7149,5148,4107
H3H,,17737,12485,10677
H3J,,10244,4899,4608
H3K,,13924,7571,6983
H3L,,19704,9782,9098
H3M,,15091,6668,6339
H3N,,29284,13061,12108
H3P,,10339,3768,3640
H3R,,9674,3813,3645
H3S,,33274,15598,14281
H3T,,12638,7233,6331
H3V,,6619,4322,3967
H3W,,31071,13284,12353
H3X,,23261,10903,10093
H3Y,,9745,3589,3372
H3Z,,11597,6613,5928
H4A,,26015,12728,11712
H4B,,20375,10807,10173
H4C,,15804,9114,8461
H4E,,30231,15577,14784
H4G,,28965,16083,14899
H4H,,19082,9514,9057
H4J,,17692,7575,6946
H4K,,11220,4006,3855
H4L,,35480,14483,13746
H4M,,12271,4643,4409
H4N,,26173,11400,10669
H4P,,4569,2115,1953
H4R,,24049,9989,9551
H4S,,502,222,215
H4T,,0,1,1
H4V,,20676,9673,8928
H4W,,24500,10386,9858
H4X,,6426,2565,2443
H4Y,,5,3,3
H4Z,,0,0,0
H5A,,0,0,0
H5B,,5,2,2
H7A,,19153,6754,6565
H7B,,3059,1030,1020
H7C,,8925,3675,3459
H7E,,25417,9730,9539
H7G,,20318,9120,8627
H7H,,12946,4781,4705
H7J,,2269,895,856
H7K,,21903,7842,7730
H7L,,34917,12920,12666
H7M,,27697,11073,10870
H7N,,39752,18875,18072
H7P,,32979,12217,12030
H7R,,28653,10541,10274
H7S,,7306,3176,3074
H7T,,20438,8303,8032
H7V,,21888,10213,9585
H7W,,39792,16523,15743
H7X,,25162,8700,8540
H7Y,,8979,3141,3069
H8N,,27341,12173,11624
H8P,,22346,10813,10235
H8R,,29849,13886,12921
H8S,,21461,10534,9693
H8T,,14663,6729,6478
H8Y,,18766,7614,7210
H8Z,,14892,5634,5467
H9A,,15776,5317,5173
H9B,,21191,7613,7379
H9C,,11964,4120,4048
H9E,,2742,1133,1069
H9G,,15903,5643,5571
H9H,,25631,9731,9481
H9J,,22552,7651,7465
H9K,,8114,2612,2561
H9P,,3883,1552,1516
H9R,,23121,9091,8827
H9S,,21999,10331,9718
H9W,,19505,6811,6687
H9X,,9843,3999,3703
J0A,,19187,8740,7932
J0B,,61485,30777,25509
J0C,,21917,9548,8882
J0E,,47708,26034,20229
J0G,,18907,9207,8211
J0H,,51400,21503,20532
J0J,,40304,18237,16376
J0K,,135850,72238,58589
J0L,,70341,28936,27784
J0M,,21730,5822,5237
J0N,,46784,17946,17406
J0P,,37274,15894,15007
J0R,,33730,18956,15090
J0S,,33837,16184,14215
J0T,,47088,40752,22346
J0V,,26139,16321,11578
J0W,,15953,11367,7201
J0X,,44986,29972,19043
J0Y,,29086,13042,11504
J0Z,,34622,16494,14264
J1A,,9494,4306,4066
J1C,,6260,2518,2478
J1E,,22088,11602,10727
J1G,,19122,8831,8490
J1H,,27776,16020,14547
J1J,,14472,7102,6752
J1K,,7272,4039,3183
J1L,,13690,7275,6875
J1M,,5250,2847,2319
J1N,,28879,11921,11529
J1R,,9751,3711,3658
J1S,,7670,3478,3307
J1T,,8003,3883,3629
J1X,,29958,16720,13675
J1Z,,5170,1993,1934
J2A,,10973,4422,4243
J2B,,27597,13500,12809
J2C,,29684,14286,13703
J2E,,4005,1728,1690
J2G,,28591,14836,14219
J2H,,17608,6677,6573
J2J,,17147,7567,7382
J2K,,15636,7168,6785
J2L,,7642,4300,3291
J2M,,6677,2747,2574
J2N,,8330,3852,3617
J2R,,10114,4165,4090
J2S,,27896,14701,13756
J2T,,15232,6911,6648
J2W,,28144,10629,10448
J2X,,18761,7858,7637
J2Y,,5692,2167,2134
J3A,,8426,4811,4694
J3B,,31354,14943,14367
J3E,,30002,10876,10746
J3G,,30358,12346,12032
J3H,,25327,10094,9831
J3L,,43978,17270,16787
J3M,,10094,4303,4201
J3N,,16736,6235,6178
J3P,,25843,12533,11912
J3R,,13176,6557,6253
J3T,,7828,3515,3368
J3V,,25751,10066,9891
J3X,,20994,8001,7894
J3Y,,57744,23030,22488
J3Z,,4213,1331,1308
J4B,,40752,16521,16236
J4G,,10075,4666,4562
J4H,,14868,8345,7910
J4J,,29108,15044,14151
J4K,,25026,13161,12317
J4L,,30873,14056,13293
J4M,,12167,4605,4531
J4N,,7927,3926,3834
J4P,,10755,5447,5156
J4R,,9704,4743,4536
J4S,,6174,3177,3081
J4T,,17445,7971,7705
J4V,,16866,7411,7179
J4W,,18217,7416,7138
J4X,,17347,6683,6521
J4Y,,19206,7402,7235
J4Z,,24523,10603,10110
J5A,,24891,9073,8869
J5B,,7462,2911,2884
J5C,,16766,6653,6560
J5J,,13375,5437,5162
J5K,,13087,5230,4948
J5L,,17986,7358,7076
J5M,,17466,6973,6619
J5R,,43233,16926,16523
J5T,,13267,5205,5018
J5V,,7517,3694,3575
J5W,,23349,9567,9246
J5X,,8651,3419,3260
J5Y,,26948,10266,9937
J5Z,,27408,11271,11012
J6A,,33477,14628,14379
J6E,,42179,20289,19539
J6J,,23539,9631,9358
J6K,,22363,8792,8548
J6N,,11581,5398,5127
J6R,,11584,4454,4320
J6S,,23364,10876,10512
J6T,,16709,8173,7782
J6V,,10803,3835,3748
J6W,,31573,13318,13015
J6X,,22837,8537,8421
J6Y,,17899,6341,6176
J6Z,,18937,7247,7136
J7A,,14318,5196,5091
J7B,,13196,3961,3928
J7C,,39126,14831,14346
J7E,,29797,13771,13133
J7G,,17452,7085,6877
J7H,,6778,2673,2528
J7J,,18703,7508,7238
J7K,,30836,12099,11688
J7L,,11655,4191,4101
J7M,,23207,8250,8027
J7N,,23246,8864,8523
J7P,,24856,10568,10360
J7R,,36840,14903,14626
J7T,,25405,8968,8747
J7V,,70485,27818,27116
J7W,,1625,593,586
J7X,,4564,1930,1832
J7Y,,22630,11313,10864
J7Z,,27824,13856,13164
J8A,,8079,4781,3555
J8B,,12139,7194,5782
J8C,,10130,6177,4603
J8E,,9525,7544,4368
J8G,,8031,4976,3493
J8H,,13468,7021,6109
J8L,,17883,7761,7208
J8M,,12413,4925,4757
J8N,,10963,6518,4317
J8P,,33048,14567,14101
J8R,,27624,10088,9954
J8T,,40274,18899,18076
J8V,,25507,9483,9264
J8X,,10305,6300,5520
J8Y,,23830,13191,12275
J8Z,,15441,7686,7381
J9A,,19850,9186,8769
J9B,,6977,2955,2570
J9E,,8088,4046,3663
J9H,,28791,12005,11597
J9J,,26000,9736,9396
J9L,,13788,6750,6188
J9P,,32180,14874,14044
J9T,,13245,5950,5644
J9V,,3440,1662,1549
J9X,,27056,13404,12677
J9Y,,5666,2219,2045
J9Z,,7715,3614,3527
K0A,,99182,37868,36185
K0B,,20971,9037,8464
K0C,,51537,21526,20363
K0E,,38410,17220,15529
K0G,,35054,17137,13841
K0H,,43678,24329,16866
K0J,,33626,19407,14049
K0K,,109311,48858,42938
K0L,,68907,44381,28474
K0M,,47817,37573,20276
K1A,,5,2,2
K1B,,17273,6790,6664
K1C,,38032,14055,13854
K1E,,15419,5687,5657
K1G,,33994,14817,14229
K1H,,15714,7130,6808
K1J,,26899,11052,10793
K1K,,29725,14174,13518
K1L,,16756,10059,9198
K1M,,6801,3162,2901
K1N,,24757,15797,13136
K1P,,321,297,234
K1R,,18488,11505,10172
K1S,,28079,13825,12638
K1T,,30996,11159,10926
K1V,,54374,21959,21085
K1W,,7180,2346,2267
K1X,,839,373,336
K1Y,,19185,9677,9238
K1Z,,20549,10375,9775
K2A,,15901,7123,6938
K2B,,32749,15577,14893
K2C,,28369,12805,12099
K2E,,18884,8124,7780
K2G,,49573,18018,17562
K2H,,26354,10800,10567
K2J,,54257,18680,18108
K2K,,24117,8675,8531
K2L,,19933,7320,7247
K2M,,22161,7421,7339
K2P,,15550,11434,10542
K2R,,1276,418,407
K2S,,28752,9926,9758
K2T,,5823,2023,1883
K2V,,728,247,247
K2W,,7613,2356,2307
K4A,,47213,16186,15788
K4B,,4956,1737,1684
K4C,,4472,1590,1532
K4K,,14084,5497,5398
K4M,,9179,3409,3307
K4P,,8944,2974,2912
K4R,,6672,2284,2271
K6A,,12860,6234,5894
K6H,,29573,13500,12832
K6J,,17791,8160,7919
K6K,,2653,1067,1056
K6T,,614,217,213
K6V,,28323,13195,12597
K7A,,16613,7386,6935
K7C,,16230,7105,6397
K7G,,8477,4061,3633
K7H,,15079,7892,6395
K7K,,32304,15289,13997
K7L,,20246,11862,9002
K7M,,46755,21276,20471
K7N,,7173,2791,2743
K7P,,19045,7304,7147
K7R,,14251,6338,5873
K7S,,12666,5599,5405
K7V,,13341,6407,5799
K8A,,26690,11581,10998
K8B,,460,155,154
K8H,,13910,5514,5237
K8N,,27242,12478,11843
K8P,,21318,9667,9154
K8R,,1478,552,549
K8V,,27139,11678,11176
K9A,,24458,10674,10113
K9H,,27433,13408,12279
K9J,,44769,20245,18796
K9K,,12774,4847,4684
K9L,,6305,2492,2396
K9V,,26504,11861,10919
L0A,,13492,5074,4822
L0B,,15028,5830,5443
L0C,,8972,3313,3160
L0E,,19503,9410,7470
L0G,,41086,14602,14064
L0H,,3411,1208,1120
L0J,,4902,1440,1401
L0K,,34064,20833,13784
L0L,,44340,20378,16049
L0M,,32752,12916,11595
L0N,,19512,7539,6923
L0P,,8089,2850,2750
L0R,,87424,31293,30642
L0S,,51669,24684,20208
L0V,,0,1,0
L1A,,14808,6328,6043
L1B,,10768,4285,4148
L1C,,39347,14508,14025
L1E,,24860,8500,8336
L1G,,40859,18149,17401
L1H,,31177,14073,13289
L1J,,42215,17316,16611
L1K,,32648,10813,10623
L1L,,2959,1033,946
L1M,,19534,6153,6034
L1N,,46572,18044,17611
L1P,,16456,5258,5132
L1R,,38444,12120,11901
L1S,,40462,15174,14906
L1T,,47818,13921,13747
L1V,,52312,17493,17250
L1W,,16907,6394,6277
L1X,,16502,4848,4776
L1Y,,2009,745,679
L1Z,,21010,6383,6270
L2A,,16527,7441,6806
L2E,,20525,9843,8999
L2G,,25477,11420,10754
L2H,,21462,7506,7369
L2J,,14586,6066,5905
L2M,,32511,14111,13623
L2N,,31103,13340,13041
L2P,,13830,6194,5843
L2R,,24345,12561,11247
L2S,,18622,7328,6978
L2T,,9937,5372,4368
L2V,,15523,6920,6145
L2W,,2049,660,657
L3B,,22368,10372,9713
L3C,,30541,13217,12626
L3K,,18479,8858,7968
L3M,,24906,9650,9458
L3P,,39205,12893,12750
L3R,,62393,18690,18332
L3S,,57644,15011,14095
L3T,,48039,18017,17609
L3V,,43564,19953,17936
L3X,,37567,11689,11557
L3Y,,45294,17305,16791
L3Z,,26570,9445,8947
L4A,,33943,12352,11894
L4B,,35432,10805,10677
L4C,,71220,26164,25483
L4E,,44440,13516,13020
L4G,,53203,18092,17691
L4H,,58066,16343,16099
L4J,,76944,25135,24644
L4K,,15822,4871,4812
L4L,,55424,17745,17222
L4M,,44334,18515,17344
L4N,,95129,35178,33969
L4P,,27874,10335,9788
L4R,,17911,8243,7699
L4S,,34449,9684,9471
L4T,,39097,12407,11442
L4V,,0,0,0
L4W,,21479,7513,7424
L4X,,19747,7004,6878
L4Y,,23989,9143,9000
L4Z,,37331,13069,12004
L5A,,47249,18426,17976
L5B,,59396,24060,22597
L5C,,30589,10157,9978
L5E,,12689,5391,5231
L5G,,20174,9162,8568
L5H,,17996,6632,6451
L5J,,28518,10638,10428
L5K,,14271,4753,4685
L5L,,45572,15334,15059
L5M,,98792,29498,28843
L5N,,85120,27265,26957
L5P,,5,1,1
L5R,,37198,12209,11659
L5S,,5,2,2
L5T,,17,14,11
L5V,,50765,13521,13323
L5W,,23453,6341,6067
L6A,,77186,22761,21898
L6B,,22938,6636,6501
L6C,,40572,11670,11450
L6E,,26917,7968,7810
L6G,,3944,2289,1960
L6H,,59917,20299,19847
