"Geographic name","Incompletely enumerated Indian reserves and Indian settlements, 2011","Population, 2011","Total private dwellings, 2011","Private dwellings occupied by usual residents, 2011"
N4X,,9363,3825,3642
N4Z,,2427,891,888
N5A,,30875,13881,13318
N5C,,14211,5764,5514
N5H,,14820,5334,5065
N5L,,2967,1646,1323
N5P,,19461,8142,7696
N5R,,26971,11282,10958
N5V,,31509,12930,12054
N5W,,22862,11258,10391
N5X,,29442,11541,11007
N5Y,,32401,16107,14323
N5Z,,23660,10945,10164
N6A,,10050,8573,5520
N6B,,10044,7188,6059
N6C,,31085,14884,14071
N6E,,27909,10366,10028
N6G,,35533,14835,12982
N6H,,38452,18645,17320
N6J,,27029,12988,12381
N6K,,33237,13422,12980
N6L,,1404,395,366
N6M,,5314,1839,1800
N6N,,731,301,285
N6P,,7133,2606,2515
N7A,,11662,6271,5121
N7G,,18041,6965,6778
N7L,,24821,11120,10680
N7M,,25541,11227,10543
N7S,,28226,11180,10913
N7T,,26602,13917,12839
N7V,,11996,5728,5536
N7W,,1948,1002,979
N7X,,1141,463,444
N8A,,12482,5718,5369
N8H,,26680,10017,9302
N8M,,10870,4411,4290
N8N,,24541,9156,8984
N8P,,10784,4094,4049
N8R,,12134,4272,4158
N8S,,21863,10705,10190
N8T,,17435,7884,7471
N8V,,0,1,1
N8W,,23969,9848,9537
N8X,,15306,7799,6912
N8Y,,18581,9669,8697
N9A,,24110,14301,11734
N9B,,16331,7926,6640
N9C,,11119,6147,4868
N9E,,20501,7607,7467
N9G,,19008,6330,6204
N9H,,9352,3329,3217
N9J,,18544,6525,6433
N9K,,2360,719,714
N9V,,19852,7897,7513
N9Y,,14487,5859,5440
P0A,,16045,14496,7082
P0B,,8841,9049,3560
P0C,,3614,6470,1568
P0E,,2926,3265,1204
P0G,,3452,4689,1492
P0H,,30624,16366,12355
P0J,,21401,10032,8966
P0K,,10986,5868,4870
P0L,,23952,11071,9225
P0M,,48496,23746,19873
P0N,,9941,4281,3912
P0P,,19024,12324,7985
P0R,,12136,8215,5255
P0S,,9628,6647,4054
P0T,,30471,17588,12796
P0V,,16347,6990,5531
P0W,,6879,4305,2601
P0X,,8474,7441,3205
P0Y,,63,214,32
P1A,,17247,7503,7215
P1B,,34094,16648,15422
P1C,,2988,975,958
P1H,,15960,9242,6483
P1L,,16082,8995,6525
P1P,,9865,6541,3952
P2A,,12602,8961,5441
P2B,,9446,4360,4064
P2N,,7424,3903,3455
P3A,,24602,10506,10091
P3B,,14928,7574,6945
P3C,,16657,9755,8772
P3E,,26887,13142,12166
P3G,,3783,1593,1436
P3L,,8012,3142,3015
P3N,,8022,3202,2963
P3P,,15210,5715,5498
P3Y,,7502,2927,2832
P4N,,27098,12367,11756
P4P,,3108,1143,1136
P4R,,3320,1181,1145
P5A,,11348,6245,5680
P5E,,5600,2514,2344
P5N,,8350,4118,3805
P6A,,35692,16439,15145
P6B,,23271,10750,10470
P6C,,19839,8656,8376
P7A,,26689,12466,11892
P7B,,27018,14513,11976
P7C,,24806,11107,10534
P7E,,21469,10308,9895
P7G,,9292,3360,3287
P7J,,4007,1443,1377
P7K,,4307,1641,1626
P7L,,1898,1057,754
P8N,,10588,4743,4411
P8T,,4743,1941,1784
P9A,,10371,4750,4347
P9N,,14505,7247,6035
R0A,,39436,14273,12834
R0B,,45474,12505,10652
R0C,,51773,26833,19756
R0E,,42836,27833,16552
R0G,,42736,15705,14993
R0H,,15801,5153,4654
R0J,,26677,14226,10924
R0K,,26828,11888,10361
R0L,,27986,13352,11298
R0M,,19792,9141,7953
R1A,,20913,8030,7840
R1B,,212,128,120
R1N,,16453,6969,6536
R2C,,32930,12674,12477
R2E,,9090,3137,3073
R2G,,32622,14569,14209
R2H,,15525,7880,7415
R2J,,25072,10141,9960
R2K,,32838,13760,13522
R2L,,14921,6531,6301
R2M,,37895,17173,16740
R2N,,27732,10080,9942
R2P,,27925,8911,8709
R2R,,20036,6052,5953
R2V,,33973,13811,13555
R2W,,28736,12381,11002
R2X,,17622,6715,6338
R2Y,,19853,8743,8625
R3A,,4293,1768,1425
R3B,,12596,6008,5231
R3C,,16463,10304,9281
R3E,,18804,7626,6909
R3G,,24830,11012,10407
R3H,,127,45,38
R3J,,26912,12755,12370
R3K,,12233,5115,5047
R3L,,19923,11564,10851
R3M,,22101,10759,10242
R3N,,16469,7453,7219
R3P,,18706,7063,6924
R3R,,25068,9861,9734
R3S,,477,159,156
R3T,,45631,18846,18119
R3V,,6194,2360,2323
R3W,,6806,2508,2339
R3X,,14251,4940,4599
R3Y,,11570,3674,3474
R4A,,3833,1304,1268
R4H,,2290,617,598
R4J,,925,319,314
R4K,,956,224,216
R4L,,1094,398,378
R5A,,2910,1027,983
R5G,,20128,7035,6883
R5H,,5333,1903,1868
R6M,,8953,3543,3464
R6W,,18155,5709,5571
R7A,,27240,11876,11248
R7B,,20371,8637,8385
R7C,,2295,1094,1061
R7N,,10138,4837,4535
R8A,,5726,2894,2521
R8N,,13223,5619,4906
R9A,,7557,3239,2957
S0A,,53779,27750,22952
S0C,,22639,11089,8994
S0E,,33842,16081,13674
S0G,,62425,30745,24734
S0H,,22644,11351,9342
S0J,,48872,22954,16147
S0K,,80672,33206,30155
S0L,,30995,14671,12530
S0M,,47554,21286,16196
S0N,,21388,9997,8237
S0P,,7640,2194,1902
S2V,,730,450,290
S3N,,17930,8091,7612
S4A,,12218,5220,4903
S4H,,11153,4893,4727
S4L,,4696,1510,1495
S4N,,29456,12463,11915
S4P,,13082,7753,7177
S4R,,34587,14515,14055
S4S,,33861,14941,14396
S4T,,31971,14729,13813
S4V,,24082,8984,8796
S4W,,510,234,197
