"","FIRE_NAME","FIRE_DAY","FIRE_MONTH","FIRE_YEAR","DATA_SOURC","CAUSE","REPORTED_A","SIZE_CLASS","AGENCY","COMMENTS","IGNITION_D","CONT_DATE","REGION_NUM","FOREST_NUM","ICS_CODE","ACRES","HA","SIZE_CLASS_"
"771","",0,0,1912,"UNKNOWN",9,0,"D","USF","",19120000,19120000,5,2,"CNF",112.44,45.5,"100-299.9 acres"
"772","",0,0,1912,"UNKNOWN",9,0,"C","USF","",19120000,19120000,5,9,"MDF",28.28,11.44,"10-99.9 acres"
"773","",0,0,1947,"UNKNOWN",9,0,"E","USF","",19470000,19470000,5,7,"LPF",762.37,308.52,"300-999.9 acres"
"774","",0,0,1947,"UNKNOWN",9,0,"E","USF","",19470000,19470000,5,7,"LPF",416.97,168.74,"300-999.9 acres"
"775","",0,0,1947,"UNKNOWN",9,0,"F","USF","",19470000,19470000,5,2,"CNF",2317.57,937.89,"1000-4999.9 acres"
"776","",0,0,1947,"UNKNOWN",9,0,"D","USF","",19470000,19470000,5,2,"CNF",179.76,72.75,"100-299.9 acres"
"777","",0,0,1947,"UNKNOWN",9,0,"C","USF","",19470000,19470000,5,2,"CNF",29.87,12.09,"10-99.9 acres"
"778","",0,0,1947,"UNKNOWN",1,0,"E","USF","",19470000,19470000,5,2,"CNF",711.82,288.06,"300-999.9 acres"
"779","",0,0,1947,"UNKNOWN",9,0,"C","USF","",19470000,19470000,5,2,"CNF",30.3,12.26,"10-99.9 acres"
"780","",0,0,1947,"UNKNOWN",9,0,"C","USF","",19470000,19470000,5,2,"CNF",32.81,13.28,"10-99.9 acres"
"781","",0,0,1947,"UNKNOWN",9,0,"E","USF","",19470000,19470000,5,2,"CNF",475.35,192.37,"300-999.9 acres"
"782","",0,0,1947,"UNKNOWN",9,0,"E","USF","",19470000,19470000,5,2,"CNF",749.43,303.28,"300-999.9 acres"
"783","",0,0,1926,"UNKNOWN",9,0,"E","USF","",19260000,19260000,5,6,"LNF",527.4,213.43,"300-999.9 acres"
"784","",0,0,1926,"UNKNOWN",9,0,"F","USF","",19260000,19260000,5,6,"LNF",1084.09,438.72,"1000-4999.9 acres"
"785","",0,0,1926,"UNKNOWN",9,0,"E","USF","",19260000,19260000,5,6,"LNF",660.59,267.33,"300-999.9 acres"
"786","",0,0,1926,"UNKNOWN",9,0,"G","USF","",19260000,19260000,5,6,"LNF",11351.96,4593.98,"5000+ acres"
"787","",0,0,1930,"UNKNOWN",9,0,"E","USF","",19300000,19300000,5,14,"SHF",326.32,132.06,"300-999.9 acres"
"788","",0,0,1931,"UNKNOWN",9,0,"E","USF","",19310000,19310000,5,7,"LPF",711.57,287.96,"300-999.9 acres"
"789","",0,0,1931,"UNKNOWN",9,0,"G","USF","",19310000,19310000,5,7,"LPF",17959.12,7267.8,"5000+ acres"
"790","",0,0,1931,"UNKNOWN",1,0,"E","USF","",19310000,19310000,5,2,"CNF",717.65,290.42,"300-999.9 acres"
"791","",0,0,1931,"UNKNOWN",9,0,"D","USF","",19310000,19310000,5,2,"CNF",292.96,118.56,"100-299.9 acres"
"792","",0,0,1931,"UNKNOWN",9,0,"E","USF","",19310000,19310000,5,2,"CNF",674.82,273.09,"300-999.9 acres"
"793","",0,0,1931,"UNKNOWN",9,0,"C","USF","",19310000,19310000,5,2,"CNF",66.15,26.77,"10-99.9 acres"
"794","",0,0,1931,"UNKNOWN",9,0,"D","USF","",19310000,19310000,5,2,"CNF",178.53,72.25,"100-299.9 acres"
"795","",0,0,1931,"UNKNOWN",1,0,"C","USF","",19310000,19310000,5,2,"CNF",82.35,33.33,"10-99.9 acres"
"796","BLUFF CREEK",24,7,1910,"UNKNOWN",4,0,"D","USF","",19100724,19100000,5,10,"SRF",298.72,120.89,"100-299.9 acres"
"797","CRAWFORD CREEK 2",7,8,1910,"UNKNOWN",7,0,"E","USF","",19100807,19100000,5,10,"SRF",497.89,201.49,"300-999.9 acres"
"798","MILL CREEK",15,8,1910,"UNKNOWN",4,0,"E","USF","",19100815,19100000,5,10,"SRF",398.3,161.18,"300-999.9 acres"
"799","HOPKINS CREEK",29,8,1910,"UNKNOWN",9,0,"E","USF","",19100829,19100000,5,10,"SRF",497.87,201.48,"300-999.9 acres"
"800","RED CAP",10,9,1910,"UNKNOWN",5,0,"E","USF","",19100910,19100000,5,10,"SRF",497.88,201.49,"300-999.9 acres"
"801","",0,0,1924,"UNKNOWN",1,0,"E","USF","",19240000,19240000,5,15,"SNF",544.54,220.37,"300-999.9 acres"
"802","",0,0,1924,"UNKNOWN",9,0,"G","USF","",19240000,19240000,5,15,"SNF",5202.7,2105.46,"5000+ acres"
"803","",0,0,1924,"UNKNOWN",1,0,"F","USF","",19240000,19240000,5,15,"SNF",4076.72,1649.79,"1000-4999.9 acres"
"804","CRAWFORD CREEK #2",29,7,1927,"UNKNOWN",1,0,"D","USF","",19270729,19270000,5,10,"SRF",204.6,82.8,"100-299.9 acres"
"805","",0,0,1938,"UNKNOWN",1,0,"C","USF","",19380000,19380000,5,2,"CNF",77.69,31.44,"10-99.9 acres"
"806","",0,0,1938,"UNKNOWN",9,0,"D","USF","",19380000,19380000,5,2,"CNF",251.92,101.95,"100-299.9 acres"
"807","",0,0,1941,"UNKNOWN",9,0,"D","USF","",19410000,19410000,5,7,"LPF",195.96,79.3,"100-299.9 acres"
"808","",0,0,1941,"UNKNOWN",9,0,"E","USF","",19410000,19410000,5,7,"LPF",608.94,246.43,"300-999.9 acres"
"809","",0,0,1941,"UNKNOWN",9,0,"E","USF","",19410000,19410000,5,7,"LPF",406.29,164.42,"300-999.9 acres"
"810","",0,0,1941,"UNKNOWN",9,0,"E","USF","",19410000,19410000,5,7,"LPF",418.08,169.19,"300-999.9 acres"
"811","",0,0,1941,"UNKNOWN",9,0,"E","USF","",19410000,19410000,5,7,"LPF",523.76,211.96,"300-999.9 acres"
"812","",0,0,1941,"UNKNOWN",9,0,"E","USF","",19410000,19410000,5,7,"LPF",327.05,132.35,"300-999.9 acres"
"813","",0,0,1941,"UNKNOWN",9,0,"G","USF","",19410000,19410000,5,7,"LPF",6374.49,2579.67,"5000+ acres"
"814","",0,0,1955,"UNKNOWN",9,0,"C","USF","",19550000,19550000,5,13,"SQF",37.92,15.35,"10-99.9 acres"
"815","LYONS PEAK",4,9,1955,"UNKNOWN",9,0,"E","CDF","",19550904,19550000,5,2,"MVU",410.4,166.08,"300-999.9 acres"
"816","",21,8,1955,"UNKNOWN",1,0,"C","USF","",19550821,19550000,4,21,"TOI",64.79,26.22,"10-99.9 acres"
"817","",24,8,1955,"UNKNOWN",3,0,"D","USF","",19550824,19550000,4,21,"TOI",206.79,83.68,"100-299.9 acres"
"818","",24,8,1955,"UNKNOWN",1,0,"C","USF","",19550824,19550000,4,21,"TOI",70.69,28.61,"10-99.9 acres"
"819","",5,7,1971,"UNKNOWN",4,480,"E","USF","",19710705,19710707,5,12,"BDF",565.06,228.67,"300-999.9 acres"
"820","WET",17,7,1971,"UNKNOWN",9,55,"C","USF","",19710717,19710717,5,2,"CNF",40.15,16.25,"10-99.9 acres"
"821","",0,0,1971,"UNKNOWN",9,0,"D","USF","",19710000,19710000,5,2,"CNF",206.07,83.39,"100-299.9 acres"
"822","MORENA",5,10,1971,"UNKNOWN",7,70,"C","USF","",19711005,19711005,5,2,"CNF",58.56,23.7,"10-99.9 acres"
"823","POVERTY CANYON",15,9,1917,"UNKNOWN",9,0,"C","USF","",19170915,19170000,5,3,"ENF",67.53,27.33,"10-99.9 acres"
"824","",0,0,1917,"UNKNOWN",9,0,"D","USF","",19170000,19170000,5,3,"ENF",110.19,44.59,"100-299.9 acres"
"825","COLD CK FIRE",24,8,1917,"UNKNOWN",1,0,"E","USF","",19170824,19170000,5,16,"ENF",992.29,401.56,"300-999.9 acres"
"826","",0,0,1917,"UNKNOWN",1,0,"F","USF","",19170000,19170000,5,3,"ENF",2050.84,829.95,"1000-4999.9 acres"
"827","PROSPECT HILL #2",1,8,1925,"UNKNOWN",5,0,"C","USF","",19250801,19250000,5,10,"SRF",8.96,3.63,"10-99.9 acres"
"828","WHITMORE #4",10,7,1925,"UNKNOWN",5,0,"E","USF","",19250710,19250000,5,10,"SRF",408.84,165.45,"300-999.9 acres"
"829","RED CAP #3",25,10,1925,"UNKNOWN",5,0,"C","USF","",19251025,19250000,5,10,"SRF",42.72,17.29,"10-99.9 acres"
"830","SALMON SUMMIT",10,8,1925,"UNKNOWN",1,0,"F","USF","",19250810,19250000,5,10,"SRF",2123.51,859.35,"1000-4999.9 acres"
